"","Model","Target","MSE","R2"
"MSE","tuoye","BVTV",0.00131344891751233,0.141581418636192
"MSE1","xueqing","BVTV",0.000929062968210387,0.39280096505061
"MSE2","Combined","BVTV",0.000764028018284811,0.500661320867781
"MSE3","tuoye","Tb.Sp",0.00561919632826475,0.820270455582332
"MSE4","xueqing","Tb.Sp",0.0015152878577533,0.951533639256252
"MSE5","Combined","Tb.Sp",0.00126909076151841,0.959408233656998
"MSE6","tuoye","M1",0.052879734239848,0.745887082461538
"MSE7","xueqing","M1",0.0650031042997277,0.687628375593965
"MSE8","Combined","M1",0.0481146626032281,0.768785576057763
"MSE9","model_serum_top1","M1",0.0658785782568116,0.683421296177596
