"Factor","Shapiro_p_value"
"MCP1",0.0240963556558664
"TNFa",0.00250599175097936
"CASP1",0.00152345264509128
"LDH",0.0156311860351898
"GM-CSF",0.0238918342308159
"MIP1a",0.00656522021305889
"HIF1a",0.00411925178661512
"ALP",0.00749222493552706
"BMP2",0.00558328726257649
"VEGFA",0.0299140426135971
"NTXI",0.00167569120346399
"COX2",0.00420973695858316
"MPO",0.00779070447946152
"IL6",0.000642336255153395
"IL17",0.00971130576497757
"IL1b",0.00218899710792299
"CTSK",0.00164938023489002
"MMP9",0.0120477205499342
"PECAM1",0.000485406848532795
"MMP-8",0.0158732642444305
