"","TyG_Index","Uric_Acid","BMI","Age","LDL","HDL","Total_Cholesterol","Triglycerides","Systolic_BP","Diastolic_BP","Fasting_Glucose"
"TyG_Index",1,0.127641967003043,0.213621996407372,-0.0465510914896545,0.0907782931707803,-0.471898532384229,0.192512181620708,0.80192391314774,0.0525943676095112,0.00333723114659364,0.567064043664687
"Uric_Acid",0.127641967003043,1,0.230007571770686,0.0501251008950754,-0.0443702506615833,-0.231045795107393,-0.084980756577301,0.107581742408672,-0.0103664049830905,-0.0185211593063955,-0.00159898530244902
"BMI",0.213621996407372,0.230007571770686,1,-0.183257444861652,-0.053958569041571,-0.23065000820853,-0.0857008221892158,0.121271245807274,-0.0434790547047318,0.0390903245803536,0.154499126767925
"Age",-0.0465510914896545,0.0501251008950754,-0.183257444861652,1,-0.0987449395501887,0.0665547341590759,-0.0738167401048549,-0.0529678230380193,0.177469729717396,-0.282934085753002,-0.0561051930202181
"LDL",0.0907782931707803,-0.0443702506615833,-0.053958569041571,-0.0987449395501887,1,0.0435354907921668,0.922780752673797,0.118393364815375,0.0769263047153294,0.121660595846636,-0.0989346213923332
"HDL",-0.471898532384229,-0.231045795107393,-0.23065000820853,0.0665547341590759,0.0435354907921668,1,0.273235547866871,-0.376469815634448,0.0623793846596314,-0.00828990585451888,-0.195158882542899
"Total_Cholesterol",0.192512181620708,-0.084980756577301,-0.0857008221892158,-0.0738167401048549,0.922780752673797,0.273235547866871,1,0.26862980559886,0.105301476305802,0.109534746947105,-0.0790519584478286
"Triglycerides",0.80192391314774,0.107581742408672,0.121271245807274,-0.0529678230380193,0.118393364815375,-0.376469815634448,0.26862980559886,1,0.035615869636351,0.0117010076448528,0.222630979915512
"Systolic_BP",0.0525943676095112,-0.0103664049830905,-0.0434790547047318,0.177469729717396,0.0769263047153294,0.0623793846596314,0.105301476305802,0.035615869636351,1,0.237986075578899,0.0452552744316031
"Diastolic_BP",0.00333723114659364,-0.0185211593063955,0.0390903245803536,-0.282934085753002,0.121660595846636,-0.00828990585451888,0.109534746947105,0.0117010076448528,0.237986075578899,1,-0.0324139666985729
"Fasting_Glucose",0.567064043664687,-0.00159898530244902,0.154499126767925,-0.0561051930202181,-0.0989346213923332,-0.195158882542899,-0.0790519584478286,0.222630979915512,0.0452552744316031,-0.0324139666985729,1
